digrp_pavadinimas,data2,dinst_id4,apskritis1,savivaldybe,data1,dinst_id5
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,22
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,-
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,20
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2006-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,20
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2007-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,20
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,3
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2008-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,16
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,19
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,3
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2009-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,16
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,16
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,3
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2010-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,16
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,13
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,3
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,3
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2011-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,16
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,13
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,3
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2012-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,16
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,13
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,6
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,1
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,3
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2013-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,16
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,13
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,6
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,1
